Levels 1-10			
ID	Name	Level	HP
4230502	Black Porkey	43	2,400
9300014	Dark Eye from Another Dimension (Physical)	43	6,500
9300008	Shadow Eye from Another Dimension (Magic)	43	7,100
9300084	Deathly Fear	43	6,500
4230108	Jr. Cerebes	43	2,300
4230123	Sparker	43	2,400
9400546	I.AM.ROBOT	44	2,490
4230112	Master Robo	44	2,450
4230120	Plateon	44	2,480
4230125	Skeledog (Undead)	44	2,450
9400007	???	45	2,900
9400100	Extra A (Guy with stick)	45	2,800
4230503	Blue Flower Serpent	45	2,550
4130100	Copper Drake	45	2,700
9400004	Dark Cloud Fox	45	2,600
9500148	Igloo Turtle	45	2,600
4230400	Iron Boar	45	2,650
4230110	King Block Golem	45	2,600
4230106	Lunar Pixie	45	2,500
4230300	Moon Bunny	45	2,600
9500170	Fake Papa Pixie (Boss)	45	8,925
4230504	Red Flower Serpent	45	2,550
4230118	Ultra Gray	45	2,550
4230115	Master Chronos (Undead)	46	2,600
9300017	Master Cronos (Undead)	46	3,600
4230121	Mecateon	46	2,600
4130101	Tortie	46	2,550
9400101	Extra B (Guy with brick)	47	2,800
4130102	Dark Nependeath	47	2,700
4230505	Jar	47	2,700
4230126	Mummydog (Undead) 	47	2,750
9300010	Rombad from Another Dimension (Boss)	47	33,000
4130103	Rombot (Boss)	47	11,000
4230104	Clang	48	3,000
4230506	Ginseng Jar	48	2,800
4230102	Wraith (Undead)	48	2,800
4240000	Chief Gray	49	9,000
9400102	Extra C (Guy with baseball bat)	50	3,100
9500172	Fake Alishar (Boss)	50	20,230
9500149	Coke Golem	50	3,600
9500171	Fake Crimson Balrog (Boss)	50	18,620
5130100	Drake	50	3,200
9600009	Giant Centipede (Boss)	50	18,000
9400544	Gryphon 	50	3,300
5100003	Hodori 	50	3,800
9400114	Japanese Monster	50	50,000
5100000	Jr. Yeti	50	3,700
9200018	Jr. Yetti	50	3,700
5120503	Straw Target Dummy	50	3,000
5100001	Transforming Jr. Yeti	50	3,700
9400559	Sophilia Doll Ground	50	2,000
9400560	Sophilia Doll	50	1,800
			
			
			
Levels 51-60			
ID	Name	Level	HP
5100002	Firebomb	51	3,600
5120504	Wooden Target Dummy	51	3,200
5130103	Croco	52	3,800
5120000	Luster Pixie	52	4,000
5120501	Bellflower Root	53	4,200
5120001	Cellion	53	4,200
5120003	Grupin 	53	4,200
5120002	Lioner 	53	4,200
5100005	Hogul 	53	4,500
9300004	Mimic 	54	4,100
5120100	MT-09 (Boss)	54	13,500
5120502	Sr. Bellflower Root	54	4,400
5130104	Hector	55	4,600
9400200	Japanese Monster	55	4,200
5300100	Malady	55	4,200
9400204	Red Slime	55	6,000
5130101	Stone Golem	55	4,000
5120506	The Book Ghost	55	4,500
9300012	Alishar (Boss)	56	125,000
5130105	Dark Jr. Yeti	56	4,400
5120500	Grizzly	56	4,800
9300051	Jr. Cellion in Tower of Goddess	56	11,000
9300053	Jr. Grupin in Tower of Goddess	56	11,000
9300052	Jr. Lioner in Tower of Goddess	56	11,000
9300108	Lord Pirate's Jar	56	9,600
5100004	Samiho	56	4,500
9500155	Three-Tailed Fox	56	4,500
5130106	Transforming Dark Jr. Yeti	56	4,400
5130107	Coolie Zombie (Undead)	57	4,500
9300109	Lord Pirate's Ginseng Jar	57	11,000
5130108	Minor Zombie (Undead)	57	4,500
5150001	Skeleton Soldier (Undead)	57	4,600
9300046	Star Pixie in Tower of Goddess	57	10,000
9300040	Cellion in Tower of Goddess	58	13,000
5130102	Dark Stone Golem	58	4,800
9300110	Lord Pirate's Bellflower	58	12,000
9300114	Lord Pirate's Enraged Mr. Alli	58	4,000
9300045	Lunar Pixie in Tower of Goddess	58	12,000
5120505	Reindeer	58	5,600
5140000	White Fang	58	5,800
9500202	Zoo White Fang (Boss)	58	10,000
9300112	Lord Pirate's 100yrOld Bellflower	59	15,000
9300111	Lord Pirate's Ancient Bellflower	59	14,000
9300126	Lord Pirate's Enraged Ginseng Jar	59	22,000
9300115	Lord Pirate's Enraged Kru	59	4,800
9300120	Lord Pirate's Furious Mr. Alli	59	24,000
9300123	Lord Pirate's Mr. Alli	59	14,000
5150000	Mix Gollem	59	6,000
9500123	Mixed Golem	59	6,000
6130201	Blin	60	3,500
9500176	Fake Blue Mushmom (Boss)	60	50,400
9500150	Ice Golem	60	6,900
9300113	Lord Pirate's 100yrOld Ancient Bellflower	60	17,500
9300116	Lord Pirate's Enraged Captain	60	5,000
9300121	Lord Pirate's Furious Kru	60	27,000
9300124	Lord Pirate's Kru	60	15,000
9300047	Luster Pixie in Tower of Goddess	60	16,000
6130202	Morphed Blin	60	7,000
6130101	Mushmom (Boss)	60	20,000
9400003	Nightghost (Undead)	60	7,100
6130203	Panda	60	6,500
9400561	Voodoo	60	6,800
9400562	Hoodoo	60	6,800
6130103	Pepe	60	7,200
9420002	Python	60	6,000
6130100	Red Drake	60	6,000
6130102	Separated Pepe	60	7,200
9400012	Water Goblin	60	7,100
			
			
Levels 61-70			
ID	Name	Level	HP
6130200	Buffy	61	7,400
9300041	Cellion in Tower of Goddess	61	18,000
9300042	Grupin in Tower of Goddess	61	18,000
9300043	Lioner in Tower of Goddess	61	18,000
9400110	Leader A (Guy with sword)	62	10,000
9400201	Japanese Monster	62	5,500
9300035	Jr. Gargoyle	62	15,000
9300125	Lord Pirate's Captain	62	17,000
9300117	Lord Pirate's Devoted Kru	62	62,500
9300122	Lord Pirate's Furious Captain	62	30,000
6130207	Peach Monkey	62	7,500
6230100	Wild Kargo	62	5,500
9300020	Muscle Stone	63	16,000
9300048	Nependeath in Tower of Goddess	63	22,000
6230602	Officer Skeleton (Undead)	63	7,500
6230101	Puco	63	20,000
9300049	Royal Nependeath in Tower of Goddess	63	22,000
6230400	Soul Teddy (Undead)	63	7,600
9400111	Leader B (Guy with gun)	64	9,000
6230200	Dark Pepe	64	7,800
6230600	Ice Drake	64	7,700
9300118	Lord Pirate's Devoted Captain	64	75,000
6130204	Mr. Alli	64	7,800
6230201	Separated Dark Pepe	64	7,800
9400008	???	65	7,980
9300038	Ghost Pixie (Undead)	65	26,000
9300044	Luinel in Tower of Goddess	65	3,000
9300019	Master Muscle Stone	65	40,000
6300002	Separated Yeti	65	11,000
6300001	Transformed Yeti	65	11,000
6300000	Yeti	65	11,000
9500201	Zoo Yeti (Boss)	65	11,000
6300005	Zombie Mushmom (Undead Boss)	65	35,000
9300036	Black Knight (Undead)	66	22,000
9300022	Black Knight (Undead)	66	40,000
6230300	Lazy Buffy	66	9,400
9300034	Mist Knight (Undead)	66	20,000
9300037	Mist Knight (Undead)	66	22,000
9300023	Myst Knight (Undead)	66	40,000
6300004	Pachu (Boss)	66	38,000
6130209	Sage Cat	66	9,000
6230500	Master Soul Teddy (Undead)	67	11,000
6300003	Punco	67	40,000
9300024	Puppet Golem	67	45,000
6230601	Dark Drake	68	13,000
6400000	Dark Yeti	68	13,000
9300050	Flying Boogie	68	32,000
9300025	Gargoyle	68	35,000
6130208	Kru	68	12,500
9300080	Kru	68	13,000
6400002	Separated Dark Yeti	68	13,000
6400001	Transformed Dark Yeti	68	13,000
6400003	Cuzco	69	60,000
9300103	Barnard Gray	70	4,500
7130401	Blue King Goblin (Boss)	70	25,000
7130104	Captain	70	15,000
7130402	Green King Goblin (Boss)	70	25,000
8140200	Klock (Undead)	70	15,000
9300119	Lord Pirate (Boss)	70	420,000
6400004	Opachu (Boss)	70	80,000
9300107	Peeking Lord Pirate (Boss)	70	300,000
7130500	Rash	70	14,500
9300101	Tamable Hog	70	200
7130100	Tauromacis	70	15,000
9500129	Taurospear	70	15,000
9300102	Watchhog	70	24,000
7130400	Yellow King Goblin (Boss)	70	25,000
9500147	Yeti and Coketump	70	20,000
9300104	Zeta Gray	70	4,500
			
			
			
Levels 71-80			
ID	Name	Level	HP
8500003	High Darkstar (Boss)	71	10,000
7130002	Beetle	72	15,200
7130001	Cerebes	72	15,200
7130600	Hobi	72	15,000
9400103	Extra D (Girl with knife)	72	15,100
9300105	Angry Lord Pirate (Boss)	73	480,000
7130103	Commander Skeleton (Undead)	73	15,300
7130000	Lucida	73	15,500
9500131	Luinel	73	15,500
6300100	Buffoon	74	16,000
7130501	Dark Rash	74	15,500
9300039	Papa Pixie (Boss)	74	672,000
8510100	Bloody Boom (Boss)	75	10,000
7130101	Taurospear	75	18,000
9300087	The Charging Taurospear	75	18,000
7130200	Werewolf 	75	16,000
8140300	Dark Klock (Undead)	76	18,000
7130003	Dual Beetle	76	18,000
9300106	Enraged Lord Pirate (Boss)	76	540,000
7130601	Green Hobi	76	18,000
7130602	Thornbush (Boss)	76	8,000
6400100	Deep Buffoon	77	19,000
7130004	Hankie	78	20,000
7130102	Yeti and Pepe	78	20,000
9001002	Athena Pierce's Clone (Boss)	80	120,000
9001000	Dances with Balrog's Clone (Boss)	80	150,000
9001003	Dark Lord's Clone (Boss)	80	120,000
9300088	Dark Lord's Disciple (Boss)	80	120,000
9001001	Grendel the Really Old's Clone (Boss)	80	90,000
9400536	Geist Balrog Phase 1 (Boss)	80	100,000
9500162	Haf	80	27,000
9500161	Hankie	80	27,000
8140001	Harp	80	27,000
8130100	Jr. Balrog (Boss)	80	50,000
9300085	Jr. Balrog in Another World (Boss)	80	50,000
9300092	Jr. Balrog in Forgotten Shrine (Boss)	80	50,000
8500004	Low Darkstar (Boss)	80	10,000
8140000	Lycanthrope	80	27,000
9300095	Lycanthrope the Kidnapper	80	19,000
9400545	Wolf Spider	80	28,000
9500200	Zoo Balrog (Boss)	80	50,000
			
			
			
Levels 81-90			
ID	Name	Level	HP
8140100	Dark Yeti and Pepe	82	29,000
9500163	Blood Haf	83	30,000
8140002	Blood Harp	83	30,000
7140000	Ghost Pirate	83	30,000
8140110	Birk	85	32,000
7130010	Death Teddy (Undead)	85	32,000
7130020	Goby	85	17,000
9300097	Goby in Warped Dimension	85	17,000
7160000	Dual Ghost Pirate	87	35,000
8140101	Black Kentaurus (Undead)	88	37,000
9300096	Black Kentaurus	88	37,000
8140103	Blue Kentaurus	88	37,000
8140111	Dual Birk	88	37,000
9500164	Kentaurus (Undead)	88	37,000
9500165	Kentaurus	88	37,000
9500166	Kentaurus	88	37,000
8140102	Red Kentaurus	88	37,000
7130300	Master Death Teddy (Undead)	89	40,000
8140500	Bain	90	45,000
8140700	Blue Dragon Turtle	90	40,000
9400205	Blue Mushmom (Boss)	90	200,000
8140555	Bombing Fish House	90	40,500
9500180	Fake Papulatus Clock (Boss)	90	353,500
9500181	Fake Papulatus (Boss)	90	211,400
			
			
			
Levels 91-100			
ID	Name	Level	HP
8140600	Bone Fish (Undead)	92	42,500
9300098	Bone Fish in Warped Dimension (Undead)	92	42,500
8140701	Red Dragon Turtle	93	49,000
8141000	Spirit Viking	93	50,000
8141300	Squid	94	46,000
9400120	Male Boss (Old guy with revolver) (Boss)	95	85,000
9500137	G. Phantom Watch (Undead)	95	2,800
9400514	Geist Balrog Phase 3 (Boss)	95	1,500,000
9400122	Male Boss (Boss)	95	85,000
8142000	Phantom Watch (Undead)	95	53,000
8140702	Rexton	95	50,000
8140703	Brexton	97	55,000
8150300	Red Wyvern	97	53,000
9300069	Red Wyvern 1 in Cave	97	53,000
9300070	Red Wyvern 2 in Cave	97	53,000
8142100	Risell Squid	97	49,000
8141100	Gigantic Spirit Viking	98	58,000
9500136	Gigantic Viking	98	58,000
8143000	Grim Phantom Watch (Undead)	99	60,000
9300029	Lion Statue A (Boss)	99	1,000,000
9300030	Lion Statue B (Boss)	99	800,000
8150000	Crimson Balrog (Boss)	100	100,000
9300094	Crimson Balrog the Kidnapper (Boss)	100	50,000
9400013	Dreamy Ghost (Undead)	100	68,000
9400537	Geist Balrog Phase 2 (Boss)	100	300,000
8150200	Green Cornian	100	56,000
9300065	Green Cornian 1 in Cave	100	56,000
9300066	Green Cornian 2 in Cave	100	56,000
9300031	Knight Statue A (Boss)	100	900,000
9300032	Knight Statue B (Boss)	100	900,000
8150100	Shark	100	56,000
9300099	Shark in Warped Dimension	100	56,000
9400564	Mirror Ghost (Boss)	100	1,000,000
8500000	Time Sphere (Undead Boss)	100	16,000
			
			
			
Levels 101-199			
ID	Name	Level	HP
8150301	Blue Wyvern	101	57,000
9300071	Blue Wyvern 1 in Cave	101	57,000
9300072	Blue Wyvern 2 in Cave	101	57,000
9400549	Headless Horseman (Boss)	101	3,500,000
8150101	Cold Shark	102	58,500
8150302	Dark Wyvern	103	60,000
9300073	Dark Wyvern 1 in Cave	103	60,000
9300074	Dark Wyvern 2 in Cave	103	60,000
8150201	Dark Cornian	105	67,000
9300067	Dark Cornian 1 in Cave	105	67,000
9300068	Dark Cornian 2 in Cave	105	67,000
8180001	Griffey (Boss)	105	3,700,000
8190000	Jr. Newtie	105	68,000
9300078	Jr. Newtie in Cave	105	68,000
8180000	Manon (Boss)	105	3,700,000
8190001	Transforming Jr. Newtie	105	68,000
8160000	Gatekeeper	108	78,000
8170000	Thanatos (Undead)	108	70,000
9300086	The Elemental Thanatos (Undead Boss) (Weak to Fire)	108	70,000
9300100	The Elemental Thanatos (Undead Boss) (Weak to Ice)	108	70,000
8190005	Nest Golem	110	80,000
9300079	Nest Golem in Cave	110	80,000
8520000	Pianus (Boss)	110	24,000,000
8510000	Pianus (Boss)	110	30,000,000
8190003	Skelegon (Undead)	110	80,000
9300075	Skelegon 1 in Cave (Undead)	110	80,000
9300076	Skelegon 2 in Cave (Undead)	110	80,000
8190004	Skelosaurus (Undead)	113	85,000
9300077	T-Skelegon in Cave (Undead)	113	85,000
9400014	Black Crow (Boss)	115	35,000,000
9300028	Ergoth (Undead Boss)	115	1,700,000
9300090	Freezer (Boss)	120	1,350,000
9300089	Phoenix (Boss) 	120	1,350,000
8500002	Papulatus Clock (Boss)	125	23,000,000
8500001	Papulatus (Boss)	125	1,590,000
9400121	Female Boss (Boss) (aka Anego)	130	75,000,000
8800003	Zakum's Arm 1 (Boss)	140	33,000,000
8800004	Zakum's Arm 2 (Boss)	140	33,000,000
8800005	Zakum's Arm 3 (Boss)	140	22,000,000
8800006	Zakum's Arm 4 (Boss)	140	22,000,000
8800007	Zakum's Arm 5 (Boss)	140	27,500,000
8800008	Zakum's Arm 6 (Boss)	140	30,000,000
8800009	Zakum's Arm 7 (Boss)	140	25,300,000
8800010	Zakum's Arm 8 (Boss)	140	25,300,000
8800000	Zakum1 (Boss)	140	66,000,000
8800001	Zakum2 (Boss)	140	88,000,000
8800002	Zakum3 (Boss)	140	110,000,000
8810010	Dead Horned Tail's Head A	140	66,000,000
8810011	Dead Horned Tail's Head B	140	66,000,000
8810012	Dead Horned Tail's Head C	140	66,000,000
8810013	Dead Horned Tail's Left Hand	140	66,000,000
8810014	Dead Horned Tail's Right Hand	140	66,000,000
8810015	Dead Horned Tail's Wings	140	66,000,000
8810016	Dead Horned Tail's Legs	140	66,000,000
8810017	Dead Horned Tail's Tails	140	66,000,000
9400112	Bodyguard A (Boss)	152	400,000,000
9400113	Bodyguard B (Boss)	155	500,000,000
8810000	Horned Tail's Left Head	160	330,000,000
8810001	Horned Tail's Right Head	160	330,000,000
8810002	Horned Tail's Head A	160	330,000,000
8810003	Horned Tail's Head B	160	490,000,000
8810004	Horned Tail's Head C	160	330,000,000
8810005	Horned Tail's Left Hand	160	230,000,000
8810006	Horned Tail's Right Hand	160	230,000,000
8810007	Horned Tail's Wings	160	270,000,000
8810008	Horned Tail's Legs	160	130,000,000
8810009	Horned Tail's Tails	160	80,000,000
9400300	The Boss (Boss)	175	150,000,000
			
			
			
Level 200			
ID	Name	Level	HP
9300091	Buff Rocky in the Dark	200	9,999,999
9400009	Crow	200	99,999
9300021	Dark Muscle Stone	200	9,999,999
9400553	Purple Flying Book	200	99,999
9400554	Orange Flying Book	200	99,999
9400555	Blue Flying Book	200	99,999
9400010	Flaming Raccoon	200	99,999
9300013	King Block Golem from Another Dimension	200	99,999
9100010	Mr. Black Sheep	200	99,999
9100008	Super Coke Snail 1	200	99,999
9100009	Super Coke Snail 2	200	99,999
9100006	Super Green Trickster	200	99,999
9100001	Super Jr. Necki	200	9,999
9100007	Super Ribbon-Pig	200	9,999
9100000	Super Slime	200	9,999
9100002	Super Stirge	200	9,999
9100005	Super Trickster	200	99,999
9100003	Ultra Jr. Necki 1	200	99,999
9100004	Ultra Jr. Necki 2	200	99,999


This file is by Sathon of odinms.de
